School,Conf,Coach, TotalPay , Graduation Rate (GSR) 
Air Force,Mt. West,Troy Calhoun," $885,000 ",83
Akron,MAC,Terry Bowden," $412,500 ",45
Alabama,SEC,Nick Saban," $8,307,000 ",79
Appalachian State,Sun Belt,Scott Satterfield," $712,500 ",57
Arizona,Pac-12,Kevin Sumlin," $2,000,000 ",74
Arizona State,Pac-12,Herm Edwards," $2,000,000 ",74
Arkansas,SEC,Chad Morris," $3,500,000 ",76
Arkansas State,Sun Belt,Blake Anderson," $825,000 ",76
Army,Ind.,Jeff Monken," $932,521 ",76
Auburn,SEC,Gus Malzahn," $6,705,656 ",76
Ball State,MAC,Mike Neu," $435,689 ",71
Baylor,Big 12,Matt Rhule,,71
Boise State,Mt. West,Bryan Harsin," $1,650,010 ",55
Boston College,ACC,Steve Addazio," $2,514,859 ",90
Bowling Green,MAC,Mike Jinks," $437,228 ",90
Brigham Young,Ind.,Kalani Sitake,,82
Buffalo,MAC,Lance Leipold," $455,500 ",89
California,Pac-12,Justin Wilcox," $1,500,000 ",81
Central Florida,AAC,Josh Heupel," $1,700,000 ",64
Central Michigan,MAC,John Bonamego," $655,000 ",64
Charlotte,C-USA,Brad Lambert," $625,000 ",56
Cincinnati,AAC,Luke Fickell," $2,000,000 ",56
Clemson,ACC,Dabo Swinney," $6,543,350 ",56
Coastal Carolina,Sun Belt,Joe Moglia," $400,000 ",85
Colorado,Pac-12,Mike MacIntyre," $2,878,500 ",83
Colorado State,Mt. West,Mike Bobo," $1,800,000 ",83
Connecticut,AAC,Randy Edsall," $1,100,000 ",98
Duke,ACC,David Cutcliffe," $2,540,928 ",82
East Carolina,AAC,Scottie Montgomery," $1,102,500 ",80
Eastern Michigan,MAC,Chris Creighton," $460,000 ",75
Florida,SEC,Dan Mullen," $6,070,000 ",92
Florida Atlantic,C-USA,Lane Kiffin," $1,000,000 ",49
Florida State,ACC,Willie Taggart," $5,000,000 ",68
Fresno State,Mt. West,Jeff Tedford," $1,550,000 ",90
Georgia,SEC,Kirby Smart," $6,603,600 ",89
Georgia Southern,Sun Belt,Chad Lunsford," $650,000 ",82
Georgia State,Sun Belt,Shawn Elliott," $569,000 ",63
Georgia Tech,ACC,Paul Johnson," $3,060,018 ",33
Hawaii,Mt. West,Nick Rolovich," $486,504 ",100
Houston,AAC,Major Applewhite," $1,750,000 ",0
Illinois,Big Ten,Lovie Smith," $5,000,000 ",72
Indiana,Big Ten,Tom Allen," $1,830,000 ",74
