School,Conf,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Central Florida,AAC,,,,,,,
Cincinnati,AAC,4,8,0.5,-9.46,0.29,-9.17,65.2
Connecticut,AAC,3,9,0.333333333,-13.01,-0.3,-13.3,60.84
East Carolina,AAC,3,9,0.333333333,-2.71,-6.98,-9.69,74.88
Houston,AAC,9,4,2.25,2.5,2.94,5.44,81.31
Memphis,AAC,8,5,1.6,3.28,-0.32,2.96,83.82
Navy,AAC,9,5,1.8,6.88,-3.29,3.59,83.6
South Florida,AAC,11,2,5.5,14,-6.16,7.83,90.21
Southern Methodist,AAC,,,,,,,
Temple,AAC,10,4,2.5,2,6.96,8.97,78.15
Tulane,AAC,4,8,0.5,-5.62,-0.92,-6.54,70.55
Tulsa,AAC,10,3,3.333333333,11.07,-4.16,6.91,88.48
Boston College,ACC,7,6,1.166666667,-7,7.58,0.58,68.72
Clemson,ACC,14,1,14,9.4,10.68,20.08,91.53
Duke,ACC,4,8,0.5,-3.03,1.67,-1.36,73.35
Florida State,ACC,10,3,3.333333333,9.49,5.52,15.01,86.38
Georgia Tech,ACC,9,4,2.25,3.28,3.85,7.13,78.04
Louisville,ACC,9,4,2.25,8.81,3.06,11.87,92.04
Miami (Fla.),ACC,,,,,,,
North Carolina,ACC,8,5,1.6,6.18,2.07,8.25,82.25
North Carolina State,ACC,7,6,1.166666667,0.69,6.81,7.49,76.44
Pittsburgh,ACC,,,,,,,
Syracuse,ACC,4,8,0.5,0.08,-4.59,-4.51,75.51
Virginia,ACC,2,10,0.2,-4.34,-3.91,-8.25,70.74
Virginia Tech,ACC,10,4,2.5,4.26,6.74,11,82.68
Wake Forest,ACC,7,6,1.166666667,-4.32,5.04,0.73,69.97
Baylor,Big 12,7,6,1.166666667,2.67,0.34,3.01,80.58
Iowa State,Big 12,3,9,0.333333333,-3.46,-0.97,-4.43,74.74
Kansas,Big 12,2,10,0.2,-9.16,-1.49,-10.65,67.96
Kansas State,Big 12,9,4,2.25,1.7,6.39,8.09,78.76
Oklahoma,Big 12,11,2,5.5,14.64,0.34,14.98,92.54
Oklahoma State,Big 12,10,3,3.333333333,8.39,2.77,11.16,85.39
Texas,Big 12,5,7,0.714285714,3.16,-1.41,1.75,77.22
Texas Christian,Big 12,6,7,0.857142857,1.88,0.74,2.63,77.84
Texas Tech,Big 12,5,7,0.714285714,12.46,-11.12,1.34,90.62
West Virginia,Big 12,10,3,3.333333333,4.01,5.56,9.57,78.75
Illinois,Big Ten,3,9,0.333333333,-5.92,-1.83,-7.75,69.69
Indiana,Big Ten,6,7,0.857142857,2.15,-0.77,1.38,74.18
Iowa,Big Ten,8,5,1.6,-0.51,7.31,6.81,74.25
Maryland,Big Ten,6,7,0.857142857,-1.82,1.89,0.07,74
Michigan,Big Ten,10,3,3.333333333,4.71,12.85,17.56,90.05
Michigan State,Big Ten,3,9,0.333333333,-1.21,-0.58,-1.79,74.72
Minnesota,Big Ten,9,4,2.25,4,4.65,8.65,76.61
Nebraska,Big Ten,9,4,2.25,-0.9,8.45,7.55,73.76
Northwestern,Big Ten,7,6,1.166666667,0.48,4.98,5.46,75.16
Ohio State,Big Ten,11,2,5.5,3.69,15.13,18.82,88.76
Penn State,Big Ten,11,3,3.666666667,11.63,4.09,15.72,87.46
Purdue,Big Ten,3,9,0.333333333,0.2,-9.16,-8.96,73.85
Rutgers,Big Ten,2,10,0.2,-9.42,2.45,-6.97,66.15
Wisconsin,Big Ten,11,3,3.666666667,2.13,13.17,15.3,78.74
Charlotte,C-USA,4,8,0.5,-6.5,-6.01,-12.51,67.25
Florida Atlantic,C-USA,3,9,0.333333333,-4.18,-10.42,-14.6,69.14
Army,Ind.,8,5,1.6,-7.31,4.9,-2.41,74.12
Brigham Young,Ind.,9,4,2.25,0.11,6.39,6.5,74.98
Liberty,Ind.,,,,,,,
Massachusetts,Ind.,2,10,0.2,-3.73,-8.21,-11.94,69.5
New Mexico State,Ind.,3,9,0.333333333,-4.52,-8.36,-12.88,68.52
Notre Dame,Ind.,4,8,0.5,5.46,-1.19,4.27,81.03
Akron,MAC,5,7,0.714285714,-0.4,-6.12,-6.52,72.64
Ball State,MAC,4,8,0.5,-3.5,-5.61,-9.11,69.48
Bowling Green,MAC,,,,,,,
Buffalo,MAC,2,10,0.2,-11.82,-6.42,-18.24,60.55
Central Michigan,MAC,6,7,0.857142857,-4.7,-0.9,-5.6,70.47
Eastern Michigan,MAC,7,6,1.166666667,-1.73,-2.57,-4.3,72.43
Kent State,MAC,3,9,0.333333333,-7.19,-1.93,-9.12,65.93
Miami (Ohio),MAC,,,,,,,
Northern Illinois,MAC,5,7,0.714285714,-0.94,-3.45,-4.39,73.18
Ohio,MAC,8,6,1.333333333,-3.34,1.35,-1.99,68.13
Toledo,MAC,9,4,2.25,7.2,-2.26,4.94,82.66
Western Michigan,MAC,13,1,13,7.61,4.42,12.03,86.24
Air Force,Mt. West,10,3,3.333333333,4.96,-0.87,4.09,78.16
Boise State,Mt. West,10,3,3.333333333,2.87,5.14,8.01,76.66
Colorado State,Mt. West,7,6,1.166666667,5.18,-2.66,2.52,80.23
Fresno State,Mt. West,1,11,0.090909091,-12.31,-1.94,-14.26,60.61
Hawaii,Mt. West,7,7,1,-1.79,-4.65,-6.44,70.46
Nevada,Mt. West,5,7,0.714285714,-6.49,-3.21,-9.7,65.95
Nevada-Las Vegas,Mt. West,4,8,0.5,0.93,-10.98,-10.05,74.74
New Mexico,Mt. West,9,4,2.25,5.26,-6.47,-1.21,77.47
San Diego State,Mt. West,11,3,3.666666667,-0.89,6.86,5.97,76.05
San Jose State,Mt. West,4,8,0.5,-4.71,-5.31,-10.03,68.2
Utah State,Mt. West,3,9,0.333333333,-4.63,-1.35,-5.99,69.88
Wyoming,Mt. West,8,6,1.333333333,9.04,-7.68,1.37,81.23
Arizona,Pac-12,3,9,0.333333333,1.01,-5.64,-4.63,74.42
Arizona State,Pac-12,5,7,0.714285714,5.89,-8.49,-2.6,79.22
California,Pac-12,5,7,0.714285714,12.42,-10,2.42,85.02
Colorado,Pac-12,10,4,2.5,2.32,9.86,12.18,79.41
Oregon,Pac-12,4,8,0.5,11.12,-10.42,0.7,84.15
Oregon State,Pac-12,4,8,0.5,0.5,1.02,1.53,74.16
Southern California,Pac-12,,,,,,,
Stanford,Pac-12,10,3,3.333333333,0.01,12.54,12.54,73.09
UCLA,Pac-12,4,8,0.5,-0.86,3.49,2.63,71.93
Utah,Pac-12,9,4,2.25,3.31,5.35,8.65,75.34
Washington,Pac-12,12,2,6,7.59,12.39,19.98,88.28
Washington State,Pac-12,8,5,1.6,5.7,3.33,9.03,84.22
Alabama,SEC,14,1,14,8.01,17.62,25.62,90.38
Arkansas,SEC,7,6,1.166666667,4.06,0.29,4.35,80.66
Auburn,SEC,8,5,1.6,-1.04,13.02,11.97,81.8
Florida,SEC,9,4,2.25,-2.62,13.6,10.98,74.4
Georgia,SEC,8,5,1.6,0.35,3.29,3.64,74.16
Kentucky,SEC,7,6,1.166666667,4.33,-2.03,2.3,78.92
LSU,SEC,8,4,2,2.68,13.25,15.93,79.6
